Mutated class;Mutation type;Mutated method;Is mutant still alive ?
org.apache.commons.codec.net.URLCodec;+ is replaced by -;encodeUrl;FALSE
org.apache.commons.codec.net.URLCodec;ifeq is replaced by ifneq;encodeUrl;FALSE
org.apache.commons.codec.net.URLCodec;+ is replaced by -;decodeUrl;FALSE
org.apache.commons.codec.net.URLCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.URLCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.URLCodec;ifeq is replaced by ifneq;decode;FALSE
org.apache.commons.codec.net.URLCodec;ifeq is replaced by ifneq;decode;FALSE
org.apache.commons.codec.net.BCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.BCodec;ifeq is replaced by ifneq;decode;FALSE
org.apache.commons.codec.net.PercentCodec;ifneq is replaced by ifeq;encode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;doEncode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;doEncode;FALSE
org.apache.commons.codec.net.PercentCodec;+ is replaced by -;doEncode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;doEncode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;expectedEncodingBytes;FALSE
org.apache.commons.codec.net.PercentCodec;+ is replaced by -;expectedEncodingBytes;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;canEncode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;canEncode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;canEncode;FALSE
org.apache.commons.codec.net.PercentCodec;+ is replaced by -;decode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;decode;FALSE
org.apache.commons.codec.net.PercentCodec;+ is replaced by -;expectedDecodingBytes;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.PercentCodec;ifeq is replaced by ifneq;decode;FALSE
org.apache.commons.codec.net.QCodec;ifeq is replaced by ifneq;doEncoding;FALSE
org.apache.commons.codec.net.QCodec;ifeq is replaced by ifneq;doDecoding;FALSE
org.apache.commons.codec.net.QCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.QCodec;ifeq is replaced by ifneq;decode;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;+ is replaced by -;getUnsignedOctet;TRUE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeByte;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;- is replaced by +;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifneq is replaced by ifeq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;+ is replaced by -;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;- is replaced by +;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;+ is replaced by -;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;- is replaced by +;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;- is replaced by +;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;+ is replaced by -;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;+ is replaced by -;decodeQuotedPrintable;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;encode;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;decode;FALSE
org.apache.commons.codec.net.QuotedPrintableCodec;ifeq is replaced by ifneq;decode;FALSE
org.apache.commons.codec.net.RFC1522Codec;ifeq is replaced by ifneq;decodeText;FALSE
org.apache.commons.codec.net.RFC1522Codec;ifneq is replaced by ifeq;decodeText;FALSE
org.apache.commons.codec.net.RFC1522Codec;- is replaced by +;decodeText;FALSE
org.apache.commons.codec.net.RFC1522Codec;ifeq is replaced by ifneq;decodeText;FALSE
org.apache.commons.codec.net.RFC1522Codec;+ is replaced by -;decodeText;FALSE
org.apache.commons.codec.net.RFC1522Codec;ifneq is replaced by ifeq;decodeText;FALSE
org.apache.commons.codec.net.RFC1522Codec;+ is replaced by -;decodeText;FALSE
org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer;+ is replaced by -;addRight;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifneq is replaced by ifeq;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;- is replaced by +;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;doubleMetaphone;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifneq is replaced by ifeq;encode;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifneq is replaced by ifeq;handleAEIOUY;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;handleAEIOUY;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifneq is replaced by ifeq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;- is replaced by +;handleC;TRUE
org.apache.commons.codec.language.DoubleMetaphone;ifneq is replaced by ifeq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;handleC;TRUE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;ifeq is replaced by ifneq;handleC;FALSE
org.apache.commons.codec.language.DoubleMetaphone;+ is replaced by -;handleC;FALSE
